EnergyConsumption,OutdoorTemp
9.24,5.00
11.05,2.63
11.10,2.71
11.65,0.71
10.99,2.08
9.47,7.08
7.75,9.42
8.49,9.08
8.76,6.92
9.70,5.79
9.22,9.13
7.86,11.54
8.34,11.17
9.42,9.92
9.95,7.21
10.42,6.33
9.44,6.67
9.68,3.04
11.78,0.00
12.77,0.79
12.33,4.42
12.90,3.33
10.66,2.42
12.78,-0.08
13.45,0.83
14.11,2.96
14.02,2.08
15.47,3.75
14.63,6.63
16.00,6.17
14.85,6.08
12.07,4.04
14.74,3.50
13.70,5.33
14.04,3.67
14.83,1.50
13.55,2.00
12.58,2.88
11.60,2.00
12.79,1.13
13.73,1.58
14.14,2.58
12.62,5.00
11.45,4.83
10.36,6.38
10.16,7.54
12.23,4.46
13.20,2.88
12.01,1.67
13.40,0.54
14.39,0.67
14.82,2.29
14.48,1.63
11.93,-1.00
15.98,0.54
14.13,-0.71
13.97,-6.50
19.09,-7.92
15.08,-1.38
14.53,-1.54
13.39,-1.67
13.95,0.58
13.65,4.21
13.81,2.21
16.48,-0.17
16.05,-2.13
17.52,-3.58
15.72,-4.42
19.97,-5.33
19.50,-5.67
20.37,-5.17
21.42,-5.38
18.65,-4.58
21.57,-3.96
26.26,-7.71
21.61,-7.67
21.17,-4.58
15.52,-1.54
15.46,0.92
16.75,2.42
15.86,2.50
12.47,4.54
12.31,4.58
13.79,4.75
12.64,4.83
12.73,4.29
15.01,4.04
14.40,2.96
13.47,3.29
12.54,2.88
15.94,0.17
14.94,0.13
16.15,2.25
14.27,3.13
16.04,1.79
15.50,3.00
15.54,4.71
14.92,5.71
14.45,5.46
9.71,4.29
13.09,3.25
9.36,4.79
10.70,6.42
8.55,7.67
8.32,7.83
8.81,6.42
12.64,2.88
11.90,5.17
11.49,6.67
10.06,5.00
12.34,4.29
8.70,6.33
9.12,5.04
7.74,7.67
7.38,6.00
8.77,4.92
10.02,3.96
9.31,3.79
8.38,6.96
6.99,7.33
7.10,5.63
8.16,6.96
4.50,16.67
3.43,21.13
3.25,22.17
3.47,17.58
4.11,15.58
3.99,15.42
4.21,16.71
3.83,18.92
3.40,21.33
3.53,20.96
3.43,22.71
2.78,21.96
2.96,21.08
3.45,21.13
2.91,22.38
2.43,19.13
2.86,13.67
3.21,11.92
4.21,11.58
3.81,13.33
4.25,16.50
3.81,18.38
3.40,14.46
3.82,13.96
2.80,13.71
3.88,11.58
2.88,12.83
3.90,12.58
2.81,13.04
3.03,15.08
4.80,11.21
3.44,11.38
4.24,10.71
4.00,10.50
3.94,9.58
3.66,9.92
4.68,10.75
4.76,13.08
4.35,13.79
3.80,13.75
4.42,13.00
4.65,13.67
4.34,14.00
3.69,15.33
3.45,15.50
4.40,15.88
3.76,12.38
3.90,12.63
4.29,14.46
3.73,11.38
4.88,13.58
3.52,10.54
3.92,9.00
3.37,9.88
4.00,10.13
3.96,10.71
4.81,12.75
3.24,14.13
5.10,13.75
4.41,13.79
3.80,14.71
4.26,15.58
4.50,15.04
4.53,13.71
4.45,13.54
3.90,14.54
3.13,15.13
3.45,10.88
3.73,7.83
5.42,10.42
4.49,12.17
4.41,13.63
4.37,12.38
4.01,8.04
3.94,9.46
4.73,5.50
5.93,4.67
4.21,6.58
3.84,10.00
5.56,11.54
4.80,10.75
3.34,9.54
3.86,5.13
4.35,5.42
4.22,4.92
4.41,5.13
4.63,5.38
4.32,7.42
4.06,9.29
4.65,3.13
5.89,1.96
5.23,0.54
4.79,-0.46
5.27,1.42
5.78,2.96
4.93,3.46
5.30,2.88
4.53,6.71
6.49,8.17
4.91,7.83
5.13,9.54
3.88,8.04
5.51,2.63
5.94,2.33
4.98,4.42
4.76,2.92
5.40,1.00
5.37,0.50
5.40,-0.88
5.57,-2.25
5.26,0.54
5.23,2.17
5.19,0.21
5.95,1.17
5.89,3.96
5.73,-0.54
5.62,-0.83
6.11,4.83
6.26,3.54
6.17,0.67
6.21,5.04
5.99,3.54
5.73,1.42
6.27,0.88
5.84,-0.38
6.52,0.63
6.60,1.29
6.27,2.08
6.07,4.04
5.89,4.58
5.62,3.00
5.75,2.67
6.20,4.29
5.74,2.88
5.90,1.88
6.35,-0.29
6.45,4.29
6.21,8.88
6.10,6.42
5.32,4.83
5.33,6.46
5.59,6.58
5.53,9.42
5.14,7.63
5.45,6.00
5.98,6.08
5.58,6.42
5.36,5.75
6.28,4.38
5.06,2.92
5.83,2.08
5.94,0.33
5.90,1.17
6.27,5.83
6.53,4.00
6.02,4.25
5.85,5.71
5.62,3.04
6.00,3.33
5.96,4.75
5.58,5.96
6.58,5.88
5.50,7.46
5.71,7.38
5.15,5.83
5.47,5.54
6.95,6.46
5.45,6.58
5.84,5.92
5.20,4.92
6.51,1.92
5.71,0.83
6.67,0.96
6.33,0.71
5.80,0.58
5.51,-0.08
5.83,-0.38
5.48,-0.42
6.25,0.00
6.21,0.83
6.64,1.50
6.82,-1.96
7.10,-2.58
5.48,-0.08
5.72,5.29
6.19,2.42
6.31,0.04
5.58,-1.67
5.87,-0.71
5.83,-1.38
5.83,-1.83
5.94,-2.25
5.73,-1.79
6.58,-4.54
6.49,-8.38
6.31,-9.75
7.16,-8.46
6.02,-4.54
7.06,-3.17
6.56,2.00
7.17,4.58
7.91,5.54
7.14,4.75
6.19,4.92
7.00,5.58
5.64,7.50
5.44,8.25
5.47,8.83
6.16,8.42
5.68,6.83
7.49,6.67
5.15,6.46
6.41,7.25
5.27,5.25
5.71,0.67
5.14,-2.38
6.65,-2.00
5.46,-0.96
6.19,-0.63
6.67,2.42
6.82,3.46
5.05,5.83
5.26,6.33
6.29,5.63
4.92,7.58
4.18,7.13
5.90,7.25
4.39,5.54
5.90,5.04
7.11,6.04
6.12,10.54
6.30,10.83
5.13,8.29
7.13,7.67
7.30,10.79
6.27,12.63
